Species,Stephan_col,Merged_col,Stephan_value,Merged_value,abs_diff,pct_diff,merged_teams,match_cat
Pongo_pygmaeus,Mesencephalon,Mesencephalon_Vol.mm3,4000,4000,0,0,Stephan_collection,exact(<0.5%)
Propithecus_verreauxi,Mesencephalon,Mesencephalon_Vol.mm3,780,780,0,0,Stephan_collection,exact(<0.5%)
Pygathrix_nemaeus,Mesencephalon,Mesencephalon_Vol.mm3,1345,1345,0,0,Stephan_collection,exact(<0.5%)
Saguinus_midas,Mesencephalon,Mesencephalon_Vol.mm3,332,332,0,0,Stephan_collection,exact(<0.5%)
Saguinus_oedipus,Mesencephalon,Mesencephalon_Vol.mm3,333,333,0,0,Stephan_collection,exact(<0.5%)
Saimiri_sciureus,Mesencephalon,Mesencephalon_Vol.mm3,526,526,0,0,Stephan_collection,exact(<0.5%)
Varecia_variegata,Mesencephalon,Mesencephalon_Vol.mm3,1018,1018,0,0,Stephan_collection,exact(<0.5%)
Alouatta_seniculus,Diencephalon,Diencephalon_Vol.mm3,3344,3344,0,0,Stephan_collection,exact(<0.5%)
Aotus_trivirgatus,Diencephalon,Diencephalon_Vol.mm3,1098,1098,0,0,Stephan_collection,exact(<0.5%)
Ateles_geoffroyi,Diencephalon,Diencephalon_Vol.mm3,5334,5334,0,0,Stephan_collection,exact(<0.5%)
Avahi_laniger,Diencephalon,Diencephalon_Vol.mm3,862,862,0,0,Stephan_collection,exact(<0.5%)
Avahi_occidentalis,Diencephalon,Diencephalon_Vol.mm3,861,861,0,0,Stephan_collection,exact(<0.5%)
Callimico_goeldii,Diencephalon,Diencephalon_Vol.mm3,739,739,0,0,Stephan_collection,exact(<0.5%)
Callithrix_jacchus,Diencephalon,Diencephalon_Vol.mm3,554,554,0,0,Stephan_collection,exact(<0.5%)
Callithrix_pygmaea,Diencephalon,Diencephalon_Vol.mm3,342,342,0,0,Stephan_collection,exact(<0.5%)
Cebus_albifrons,Diencephalon,Diencephalon_Vol.mm3,3996,3996,0,0,Stephan_collection,exact(<0.5%)
Cercopithecus_ascanius,Diencephalon,Diencephalon_Vol.mm3,3605,3605,0,0,Stephan_collection,exact(<0.5%)
Cercopithecus_mitis,Diencephalon,Diencephalon_Vol.mm3,4176,4176,0,0,Stephan_collection,exact(<0.5%)
Cheirogaleus_major,Diencephalon,Diencephalon_Vol.mm3,489,489,0,0,Stephan_collection,exact(<0.5%)
Cheirogaleus_medius,Diencephalon,Diencephalon_Vol.mm3,235,235,0,0,Stephan_collection,exact(<0.5%)
